,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
165,203946,18,3.5,0.2,0.214,0.0,0.0,0.2,0.8,0.4,0.1,0.1,0.1,0.6
166,1858,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2486,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,76089,4,,0.0,0.0,,,0.0,,,0.0,,,0.0
169,1627758,52,16.5,1.6,0.378,0.4,0.267,0.5,0.651,1.9,2.1,0.7,0.2,4.1
170,452,82,31.2,5.3,0.501,0.0,0.2,2.9,0.569,7.6,2.0,0.7,1.4,13.5
171,1627735,33,12.3,1.1,0.313,0.1,0.136,0.9,0.838,1.4,1.8,0.5,0.2,3.2
172,200764,68,15.6,2.0,0.505,0.1,0.185,0.8,0.567,4.3,0.6,0.8,0.6,4.9
173,76090,7,3.7,0.4,0.375,0.0,0.0,0.3,1.0,1.6,0.0,0.0,0.3,1.1
174,1628366,52,34.2,3.9,0.36,1.7,0.305,0.6,0.451,6.9,7.2,1.7,0.8,10.2
175,76091,76,12.3,1.9,0.425,,,1.2,0.772,3.5,0.8,0.4,0.2,4.9
176,76092,58,,0.9,0.202,,,0.6,0.464,,0.3,,,2.4
177,76093,80,21.3,3.9,0.477,0.0,0.0,1.8,0.684,5.1,1.8,0.7,0.2,9.6
178,2556,81,17.1,2.2,0.4,0.3,0.314,1.2,0.756,1.6,2.2,1.1,0.2,5.9
179,76094,75,18.7,2.8,0.47,0.0,0.0,1.2,0.474,4.4,0.5,0.5,0.5,6.8
180,76095,76,26.1,4.1,0.399,,,1.9,0.662,6.8,2.1,0.7,0.6,10.1
181,76096,5,1.0,0.4,0.25,,,0.6,0.5,1.2,0.0,,,1.4
182,2571,70,21.4,3.0,0.447,1.2,0.395,0.7,0.77,1.8,2.4,1.3,0.1,7.9
183,76097,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,200826,33,5.8,0.8,0.359,0.2,0.286,0.5,0.667,0.8,0.7,0.0,0.0,2.4
185,200745,65,25.1,4.1,0.427,1.5,0.373,1.8,0.824,3.9,0.8,0.5,0.8,11.6
186,76098,49,,2.1,0.372,,,1.5,0.708,,2.2,,,5.7
187,76099,59,22.9,3.1,0.417,,,1.9,0.683,6.8,1.0,0.6,0.7,8.1
188,787,82,28.6,5.2,0.545,0.0,0.167,3.6,0.733,8.6,1.9,1.2,1.0,14.0
189,2057,8,4.7,1.0,0.364,0.4,0.375,0.0,0.0,0.4,0.8,0.3,0.0,2.4
190,76102,62,32.5,4.4,0.338,,,3.8,0.691,9.7,2.2,,,12.6
191,203084,81,25.4,3.4,0.439,0.6,0.359,1.8,0.758,4.1,1.2,0.6,0.2,9.2
192,76103,22,5.7,0.8,0.281,,,0.3,0.538,1.2,0.2,,,2.0
193,76105,75,34.5,6.1,0.424,,,3.3,0.662,9.7,1.2,,,15.5
194,76104,53,18.7,3.8,0.447,,,2.0,0.679,4.8,0.8,0.7,0.6,9.6
195,2440,38,19.1,1.7,0.457,0.1,0.154,1.1,0.705,4.0,1.3,0.7,0.1,4.5
196,76107,57,21.7,5.1,0.412,,,2.2,0.711,2.7,2.8,,,12.4
197,76106,48,8.0,1.6,0.37,,,0.9,0.677,1.1,0.9,,,4.1
